"Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Regular price","Sale price","In stock?","Categories","Images"
"simple","humidifier","Smooth Anti Gravity Humidifier","1","1","visible","","Upgrade your space with the stylish and futuristic Smooth Anti Gravity Humidifier. Designed to combine beauty, relaxation, and functionality, this premium humidifier creates a stunning visual effect of water droplets flowing upward using advanced LED strobe lighting.

This ultrasonic humidifier helps add moisture to the air, improving air quality and creating a more comfortable environment for your home, office, or bedroom. It also supports aromatherapy with essential oils.

Key Features:
✔ Unique Anti-Gravity Water Droplet Effect
✔ Ultrasonic Humidification Technology
✔ Supports Aromatherapy with Essential Oils
✔ Improves Air Moisture & Air Quality
✔ Built-in Digital LED Clock
✔ Large Water Tank Capacity","2999","1499","1","Smart Home","https://images.unsplash.com/photo-1546868871-7041f2a55e12?auto=format&fit=crop&q=80&w=800"
"simple","gamestick","M15 Game Stick","1","1","visible","","Bring back the golden era of gaming with the M15 Game Stick. This plug-and-play retro gaming console is designed for classic game lovers who want instant fun without complicated setup.

Packed with 20,000+ to 22,000+ pre-installed classic games, the M15 Game Stick supports multiple popular emulators including PS1, GB, GBA, and many more. Enjoy endless nostalgia with your favorite childhood games right on your TV.

Key Features:
✔ 20,000+ Built-in Classic Games
✔ Supports PS1, GB, GBA & Multiple Emulators
✔ HDMI Plug-and-Play Setup
✔ 4K Display Support
✔ 64GB SD Card Included
✔ 2.4G Wireless Game Controllers","3999","1999","1","Gaming","https://images.unsplash.com/photo-1605901309584-818e25960b8f?auto=format&fit=crop&q=80&w=800"
"simple","magiccar","Magic Induction Line Follower Car","1","1","visible","","Make playtime smarter and more exciting with the Magic Induction Line Follower Car. This fun and educational toy is designed to entertain kids while boosting creativity and imagination.

Featuring Automatic Line Following Technology, simply draw a black line on paper and watch the car magically follow the path! It creates a unique interactive play experience that keeps children engaged for hours.

Key Features:
✔ Automatic Line Following Technology
✔ Cute Cartoon Car Design
✔ Bright Attractive Colors (Pink & Yellow)
✔ Battery Operated for Easy Use
✔ Safe & Kid-Friendly Material","1399","699","1","Toys","https://images.unsplash.com/photo-1596461404969-9ae70f2830c1?auto=format&fit=crop&q=80&w=800"
"simple","rccar","Little Monster Rock Crawler RC","1","1","visible","","Unleash the power of adventure with the Little Monster Rock Crawler RC. Built for speed, drifting, and off-road action, this powerful RC car is perfect for kids, hobby lovers, and remote-control car enthusiasts.

Designed with a strong Metal Body and Double Suspension System, it offers better durability, smooth movement, and stable performance on rough surfaces. Whether you're racing indoors or exploring outdoor tracks, this rock crawler delivers exciting drifting and off-roading fun.

Key Features:
✔ Powerful Single Remote Control
✔ Smooth Drifting Performance
✔ Strong Off-Roading Capability
✔ Realistic Light & Smoke Spray Effect
✔ Premium Durable Metal Body","3799","1899","1","Toys","https://images.unsplash.com/photo-1594787318286-3d835c1d207f?auto=format&fit=crop&q=80&w=800"
"simple","airpodspro2","AirPods Pro 2","1","0","visible","","Experience the Daddy of All AirPods 👑 with the powerful AirPods Pro 2 (2nd Gen Type-C). Designed for premium sound lovers, these earbuds deliver top-level performance, deep bass, crystal-clear vocals, and a luxury listening experience just like the original.

Featuring Apple Care+ 2-Year Serial Number Working, Double China Pack Box, and the Topmost Premium Quality, this version offers unmatched finishing and performance. Enjoy Adaptive Noise Cancellation, Spatial Audio, and Conversation Awareness, giving you an immersive and smart audio experience for music, calls, travel, and daily use.

Built with Wireless Charging Support, Volume Up/Down Controls, Beep Sound Function, and Same Original Ear Tips, these earbuds are made for comfort, convenience, and all-day use.

Available Features:
✔ Apple AirPods Pro 2nd Gen Type-C Version
✔ Apple Care+ 2-Year Serial Number Working
✔ Double China Premium Pack Box
✔ Topmost Premium Quality Finish
✔ Heavy Bass & Crystal Clear Sound
✔ Adaptive Noise Cancellation Working
✔ Spatial Audio Support
✔ Conversation Awareness Feature
✔ Same Original Soft Ear Tips
✔ Wireless Charging Working
✔ Volume Up / Down Control
✔ Beep Sound Function
✔ Perfect for Music, Calls, Travel & Gaming

👑 Once you buy this quality, you’ll always ask for the same quality!","4999","2499","1","Audio","https://images.unsplash.com/photo-1606220588913-b3aacb4d2f46?auto=format&fit=crop&q=80&w=800"
"simple","mousekeyboard","Multi-Purpose Wireless Mouse and Keyboard Kit","1","0","visible","","Boost your productivity with the Multi-Purpose Wireless Mouse and Keyboard Kit. Designed for work, study, and daily use, this premium combo offers smooth performance, stylish design, and wide compatibility for all your devices.

Featuring a Dual Mode Rechargeable Mouse & Keyboard, this set provides seamless wireless connectivity and hassle-free usage without the need for constant battery replacement. The included Type-C charging support ensures fast and convenient recharging for uninterrupted performance.

Compatible with Android phones, iPhone, PC, and Mac, this versatile combo is perfect for office work, online classes, business use, gaming, and travel. Its compact design and mix color options add both style and convenience to your setup.

Key Features:
✔ Dual Mode Wireless Keyboard & Mouse
✔ Rechargeable Design – No Extra Batteries Needed
✔ Fast Type-C Charging Support
✔ Smooth & Silent Performance
✔ Compatible with Android Phone
✔ Compatible with iPhone
✔ Compatible with PC & Mac
✔ Stylish Mix Colour Options
✔ Lightweight & Portable Design
✔ Perfect for Work, Study & Daily Use

A smart and stylish wireless combo built for comfort, convenience, and maximum productivity","2399","1199","1","Computer Accessories","https://images.unsplash.com/photo-1595225476474-87563907a212?auto=format&fit=crop&q=80&w=800"
"simple","combokit","Multifunctional Combo Kit – Flashlight, Cigarette Lighter, Cable Set & Type-C Earphones","1","0","visible","","Get everyday convenience in one smart package with the Multifunctional Combo Kit. This premium combo is designed for users who want useful gadgets combined in one practical set for daily life, travel, office, and personal use.

The combo includes a powerful flashlight with an inbuilt cigarette lighter, making it perfect for emergency use and outdoor convenience. It also comes with a multiple cable set featuring a built-in phone stand, allowing easy charging and comfortable mobile viewing anytime, anywhere.

To complete the package, high-quality Type-C earphones are included for clear music, smooth calling, and daily entertainment. Stylish, practical, and highly useful—this combo kit is perfect for gifting or personal use.

Key Features:
✔ Powerful Flashlight with Bright Light Output
✔ Inbuilt Cigarette Lighter Function
✔ Multiple Charging Cable Set
✔ Built-in Mobile Phone Stand
✔ Premium Type-C Earphones Included
✔ Perfect for Travel, Office & Daily Use
✔ Compact, Stylish & Useful Combo Set
✔ Ideal for Personal Use or Gift Purpose

A smart all-in-one combo designed for convenience, utility, and everyday lifestyle needs.","1799","899","1","Gadgets","https://images.unsplash.com/photo-1584006682522-dc17d6c0d9ac?auto=format&fit=crop&q=80&w=800"
"simple","applewatchultra","Apple Watch Ultra - Premium Smartwatch with Bluetooth Calling & Fitness Tracking","1","0","visible","","Upgrade your style and smart lifestyle with the Apple Watch Ultra  – 7 in 1 Strap (49MM). Designed with a premium ultra look and powerful smart features, this watch is perfect for daily wear, fitness tracking, and business use.

This model comes with 7 interchangeable straps—change your style every day of the week! The box includes 7 straps, watch protector, wireless fast charging cable, and manual book for a complete premium package.

Built with backside real screws, secure strap locking system, ultra original wallpapers, and new watch faces, it gives the authentic luxury feel. The triple button design with working scroll ensures smooth operation and connectivity with all devices.

Enjoy Bluetooth calling with call making and answering directly from your wrist, along with powerful features like phonebook, call log, dialer, calculator, notifications, calendar, alarms, and more.

Key Features:
✔ 7 in 1 Strap Series 8 Ultra (49MM)
✔ 7 Changeable Straps Included
✔ Watch Protector + Wireless Fast Charging Cable
✔ Bluetooth Calling (Make & Answer Calls)
✔ Triple Button with Working Scroll
✔ Real Backside Screws & Secure Strap Lock
✔ Original Ultra Wallpapers & New Faces
✔ Heart Rate / BP / ECG + PPG Monitor
✔ Fitness Modes with Multiple Sports Categories
✔ Compatible with All Devices","5999","2999","1","Smart Watches","https://images.unsplash.com/photo-1434493789847-2f02dc6ca35d?auto=format&fit=crop&q=80&w=800"
"simple","airpodspro3","AirPods Pro 3 – Premium ANC Wireless Earbuds with H2 Chip & USB-C Charging","1","0","visible","","Feel the power of crystal-clear music with the AirPods Pro 3. Designed for premium sound lovers, these earbuds deliver rich bass, sharp vocals, and an immersive listening experience in every beat.

Equipped with the advanced H2 chip, Active Noise Cancellation (ANC), and Adaptive EQ, AirPods Pro 3 automatically optimize sound according to your ears for a truly personalized audio experience. Whether you're listening to music, taking calls, traveling, or working out, these earbuds provide smooth performance and all-day comfort.

With up to 8 hours of playtime, IP57 water resistance, and ultra-fast USB-C charging, they are built to keep up with your daily lifestyle. Stylish, lightweight, and powerful—your perfect audio companion for every moment.

Key Features:
✔ Advanced H2 Chip for Faster Performance
✔ Active Noise Cancellation (ANC)
✔ Adaptive EQ for Personalized Sound
✔ Crystal Clear Audio with Deep Bass
✔ Up to 8 Hours Playtime
✔ IP57 Water & Sweat Resistance
✔ Fast USB-C Charging Support
✔ Premium Comfort Fit Design
✔ Perfect for Music, Calls, Travel & Workouts","5599","2799","1","Audio","https://images.unsplash.com/photo-1606220588913-b3aacb4d2f46?auto=format&fit=crop&q=80&w=800"
"simple","jblflip6","JBL Flip 6+ Wireless Speaker","1","0","visible","","Enjoy powerful sound and premium build quality with the JBL Flip 6+ Wireless Speaker. Designed for music lovers who want deep bass, clear vocals, and strong wireless performance, this speaker delivers an impressive audio experience for indoor and outdoor use.

Built with high premium quality materials and featuring Original China Packing (not local sticker packing), it offers a more authentic premium feel. The Original Dual Speakers provide louder sound output with enhanced bass and balanced stereo performance, making it perfect for parties, travel, gaming, and daily entertainment.

This Master Replica version is crafted with attention to detail, giving you the premium look, feel, and performance similar to the original at a great value.

Key Features:
✔ Original China Packing (Not Local Sticker Version)
✔ High Premium Build Quality
✔ Original Dual Speaker System
✔ Powerful Bass & Clear Sound Output
✔ Strong Wireless Bluetooth Connectivity
✔ Portable & Stylish Design
✔ Perfect for Indoor & Outdoor Use
✔ Master Replica Premium Version

Ideal for music, travel, parties, office, and daily entertainment—premium sound with premium style.","4399","2199","1","Audio","https://images.unsplash.com/photo-1608223652613-2dfc6fc2e389?auto=format&fit=crop&q=80&w=800"
"simple","earpods","Apple Type-C / Lightning Wired EarPods","1","0","visible","","Experience crystal-clear sound and premium comfort with the Apple Type-C / Lightning Wired EarPods. Designed with superb quality and powerful audio output, these earphones deliver a rich listening experience just like original handsfree.

Unlike traditional round earbuds, the unique EarPods design is shaped according to ear geometry, making them more comfortable and secure for long-time use. The high-quality built-in speakers maximize sound output, giving you deep bass, clear vocals, and balanced sound for music, videos, and calls.

Available with both Type-C Connector and Lightning Connector, these earphones are perfect for modern smartphones and devices. It also features a built-in remote and microphone, allowing you to adjust volume, control music playback, and answer or end calls easily.

Key Features:
✔ Apple OG Style Premium Packing
✔ Superb Sound Quality with Deep Bass
✔ Comfortable Ergonomic EarPods Design
✔ Type-C / Lightning Connector Options
✔ Built-in Mic for Clear Calling
✔ Volume & Music Control Remote
✔ Smooth Calling, Music & Video Experience
✔ Same Like Original Handsfree Quality","1999","999","1","Audio","https://images.unsplash.com/photo-1572536147248-ac59a8abfa4b?auto=format&fit=crop&q=80&w=800"
